,asal,lowongan,perusahaan,lokasi,keterangan,skill,benefit,deskripsi,stem,link
0,karir,PRU VENTURE MANAGEMENT TRAINEE - el,Baroroh Elbariah,FP One  - Jakarta Pusat, Penjualan dan Pemasaran. Jenjang Karir. Supervisor. Pengalaman. Setidaknya 5 tahun. Jurusan. Administrasi Bisnis (Manajemen). Lulusan. Diploma,-,-, Persyaratan  1  Pendidikan S1  2  Usia 25 35 tahun  3  Tinggal di area Jakarta Selatan Tangerang Selatan  4  Memiliki pengalaman di bidang penjualan marketing  5  Bertanggung jawab dan memiliki motivasi yang tinggi  6  Memiliki kemampuan komunikasi yang baik  7  Berwawasan luas dan kreatif  Tanggung Jawab  PT Prudential Life Assurance membuka lowongan program full time job Pru Venture yaitu program Management Trainee  program kerja sekaligus pelatihan bisnis  sebagai tim marketing asuransi  Program ini dikerjakan selama 12 bulan dilanjutkan ke jenjang Manager ahli keuangan dengan tugas sebagai berikut   1  Memasarkan produk asuransi Prudential melalui proses market survey dan edukasi masyarakat baik melalui online maupun offline  2  Mencari peluang pelanggan baru dan menjaga relasi   3  Mampu membangun team dengan baik  4  Mencapai target penjualan perusahaan  5  Bersedia mengikuti pelatihan pengembangan diri dan program sertifikasi   ,pru ventur manag traine el baroroh elbariah fp one jakarta pusat jual dan pasar jenjang karir supervisor alam tidak 5 tahun jurus administrasi bisni manajemen lulus diploma syarat 1 didik s1 2 usia 25 35 tahun 3 tinggal di area jakarta selatan tangerang selatan 4 milik alam di bidang jual market 5 tanggung jawab dan milik motivasi yang tinggi 6 milik mampu komunikasi yang baik 7 wawas lua dan kreatif tanggung jawab pt prudenti life assur buka lowong program full time job pru ventur yaitu program manag traine program kerja sekaligu latih bisni bagai tim market asuransi program ini kerja lama 12 bulan lanjut ke jenjang manag ahli uang dengan tuga bagai ikut 1 pasar produk asuransi prudenti lalu prose market survey dan edukasi masyarakat baik lalu onlin maupun offlin 2 cari peluang langgan baru dan jaga relasi 3 mampu bangun team dengan baik 4 capai target jual usaha 5 sedia ikut latih kembang diri dan program sertifikasi,https://karir.com/opportunities/1327104
1,karir,MANAGEMENT TRAINEE,PT Bestprofit Futures (Malang),Malang, Management Trainee. Jenjang Karir. Manajer Senior. Pengalaman. Setidaknya 0 tahun. Jurusan. Semuanya. Lulusan. Sarjana/S1,-,-, Persyaratan  KUALIFIKASI MT    Pria   Wanita usia 25   30 tahun  Minimal Pendidikan S1 Segala Jurusan  Good looking komunikatif disiplin  Mampu menguasi Ms  Office  Penempatan Kota Malang  Tanggung Jawab  TUGAS   TANGGUNG JAWAB MT    Mendukung manajer dengan berbagai macam tugas seperti penetapan tujuan dan pembuatan kebijakan   Memahami cara perusahaan beroperasi   Membantu manajer dalam membuat evaluasi kinerja seperti menulis laporan atau menganalisa data   Membantu bagian administratif     ,manag traine pt bestprofit futur malang malang manag traine jenjang karir manaj senior alam tidak 0 tahun jurus semua lulus sarjana s1 syarat kualifikasi mt pria wanita usia 25 30 tahun minim didik s1 segala jurus good look komunikatif disiplin mampu kuasi ms offic tempat kota malang tanggung jawab tuga tanggung jawab mt dukung manaj dengan bagai macam tuga seperti tetap tuju dan buat bijak paham cara usaha operasi bantu manaj dalam buat evaluasi kerja seperti tuli lapor atau menganalisa data bantu bagi administratif,https://karir.com/opportunities/1318824
2,glints,Associate Trainee,Perusahaan Dirahasiakan,Setiabudi Jakarta, Legal. Magang. Pengalaman kurang dari 1 tahun.,Skills wajib Legal Research Good Communication Skills Legal Drafting,-, Deskripsi pekerjaan Associate Trainee Dwinanto Strategic Legal Consultant   Associate Trainee Batch 2  Requirements   1  Male with Bachelor or Master degree in Law from reputable university in Indonesia or overseas   2  High mobility and able to work onsite around Indonesia or overseas   3  Minimum GPA 3 00  scale 4 00    4  1 year experience  Fresh graduates are welcome to apply    5  Good communication skills   6  Excellent writing and drafting skills   7  Excellent English speaking and writing ability   8  Dynamic fast learner and good attitude   9  Able to work individually and as a team   Responsibilities   1  Preparing affidavits legal correspondence and other documents for attorney   2  Travel around Indonesia or overseas to handle the projects   3  Organizing and maintaining documents in a paper or electronic filing system   4  Meeting with clients attorneys and other professionals to talk about case details   5  Preparing draft of legal agreements and or contracts   6  Gathering and analyzing new regulations ,associ traine usaha rahasia setiabudi jakarta legal magang alam kurang dari 1 tahun skill wajib legal research good commun skill legal draft deskripsi kerja associ traine dwinanto strateg legal consult associ traine batch 2 requir 1 male with bachelor or master degre in law from reput univers in indonesia or oversea 2 high mobil and abl to work onsit around indonesia or oversea 3 minimum gpa 3 00 scale 4 00 4 1 year experi fresh graduat are welcom to appli 5 good commun skill 6 excel write and draft skill 7 excel english speak and write abil 8 dynam fast learner and good attitud 9 abl to work individu and as a team respons 1 prepar affidavit legal correspond and other document for attorney 2 travel around indonesia or oversea to handl the project 3 organ and maintain document in a paper or electron file system 4 meet with client attorney and other profession to talk about case detail 5 prepar draft of legal agreement and or contract 6 gather and analyz new regul,https://glints.com/id/opportunities/jobs/associate-trainee/c824b7ac-aa19-4c4b-be6e-fb82e39b775b
3,glints,Management Trainee - Finance & Accounting,Perusahaan Dirahasiakan,Karawang, Finance. Full-Time. 1 - 3 tahun pengalaman.,Skills wajib Fast Learner Strong Leadership Skills strong analytical skills,-, Deskripsi pekerjaan Management Trainee   Finance   Accounting Rumah Sakit Izza Cikampek  Management Trainee for Finance   Accounting  PT Sapta Kurnia Abadi  Holding company of Rumah Sakit Izza  based in Karawang is currently looking for Management Trainee  MT  Finance   Accounting who will lead Finance Team after finish the training  Requirement   1  Min  bachelor degree in Accounting Finance  2  Max 3 year s  of working experience as Finance Accounting Fresh Graduate are welcome  3  Must have strong analytical skills  4  Fast Learner   Problem Solver  5  Strong knowledge in Financial statement and treasury management   6  Excellent communication skills  7  Strong leadership   interpersonal skills to motivate ,manag traine financ account usaha rahasia karawang financ full time 1 3 tahun alam skill wajib fast learner strong leadership skill strong analyt skill deskripsi kerja manag traine financ account rumah sakit izza cikampek manag traine for financ account pt sapta kurnia abadi hold compani of rumah sakit izza base in karawang is current look for manag traine mt financ account who will lead financ team after finish the train requir 1 min bachelor degre in account financ 2 max 3 year s of work experi as financ account fresh graduat are welcom 3 must have strong analyt skill 4 fast learner problem solver 5 strong knowledg in financi statement and treasuri manag 6 excel commun skill 7 strong leadership interperson skill to motiv,https://glints.com/id/opportunities/jobs/management-trainee-finance-and-accounting/5fca6176-13dd-44bd-b96a-9289090ff7c7
4,glints,Real Estate Valuator Trainee,Perusahaan Dirahasiakan,Kuta, Other. Magang. Pengalaman kurang dari 1 tahun.,Skills wajib English Microsoft Office Mathematics Skills tambahan Basic Asset Appraisal,-, Deskripsi pekerjaan Real Estate Valuator Trainee Bvr Group Asia  As an real estate appraisal trainee you will be responsible to do these task but not limited to   Researched and interpreted market property and transaction data to assist in formulating analyses   Collaborated with the appraiser in the preparation and review of appraisal reports and work files   Assisted the appraiser in the inspection of subject and comparable properties   Job requirements   Fresh graduate or final year students  Have some sort of real estate knowledge  Computer knowledge  Appraisal software knowledge is a plus  Confidentiality  Fluent in English both oral and written,real estat valuat traine usaha rahasia kuta other magang alam kurang dari 1 tahun skill wajib english microsoft offic mathemat skill tambah basic asset apprais deskripsi kerja real estat valuat traine bvr group asia as an real estat apprais traine you will be respons to do these task but not limit to research and interpret market properti and transact data to assist in formul analys collabor with the apprais in the prepar and review of apprais report and work file assist the apprais in the inspect of subject and compar properti job requir fresh graduat or final year student have some sort of real estat knowledg comput knowledg apprais softwar knowledg is a plu confidenti fluent in english both oral and written,https://glints.com/id/opportunities/jobs/real-estate-valuator-trainee/7dd371cd-4b4c-4a51-8d47-f38ce92383db
5,glints,Management Trainee,Perusahaan Dirahasiakan,Kalideres Jakarta, Management. Full-Time. Pengalaman kurang dari 1 tahun. Actively Hiring.,Skills wajib Critical Thinking Skills Analyzing skills Structural Thinking Causal Resoning Communication Skills Project Management Work Breakdown Structure Logical Reasoning Sense Of Number Observation Skill Problem Solving Skills Skills tambahan Good Interpersonal Skills Leadership,keuntungan: Tunjangan kesehatan dan kebugaran Tunjangan pengembangan diri Lainnya, Deskripsi pekerjaan Management Trainee Rocket Pack  Rocket Pack is a startup company engaged in the packaging  We are looking for someone who has a passion to learn a lot and push themselves to grow up every day  This position is designed to develop our Future Leader s   If you are one of them it will be perfect for you   Job Description    Problem solving partner   conduct analysis synthesis problem cross share best practises established guidance toward strategic  Help to track performance progress and achievement of assignment project in every division if needed  Improvement with the working team   to ensure project is run seamlessly and any performances gaps could be optimally addressed  Work with multiple departments on testing and piloting new initiatives  Develop organizational pulse and identify opportunities to drive high performance culture in the organization also working as a feedback channel to the leadership team in regards to organization inputs and concerns  Contribute to breakdown and development of any project into actionable plan of any departments if needed  Conduct research in any possible way  experiment like A B test survey paper or expert communication  for analysis and conclusion for making suitable working path based on the purpose of project  Qualification    Bachelor Degree or Master Degree from all majors graduated from reputable university is preferable  Minimum GPA 3 25  Fresh Graduates or max  1 year experience  Excel in analytical critical structured thinking and comfortable dealing with numbers is a must  Have a leadership good interpersonal communication project management skill   to be able to effectively collaborate inspire and drive the implementation across different teams  Positive team spirit with passion to drive change   support a cohesive team collaboration  Aspiring and growth mindset demonstrated by willingness to learn and openness towards feedback  Willing to work at our head office in Jakarta,manag traine usaha rahasia kalider jakarta manag full time alam kurang dari 1 tahun activ hire skill wajib critic think skill analyz skill structur think causal reson commun skill project manag work breakdown structur logic reason sens of number observ skill problem solv skill skill tambah good interperson skill leadership untung tunjang sehat dan bugar tunjang kembang diri lain deskripsi kerja manag traine rocket pack rocket pack is a startup compani engag in the packag we are look for someon who ha a passion to learn a lot and push themselv to grow up everi day thi posit is design to develop our futur leader s if you are one of them it will be perfect for you job descript problem solv partner conduct analysi synthesi problem cross share best practis establish guidanc toward strateg help to track perform progress and achiev of assign project in everi divis if need improv with the work team to ensur project is run seamlessli and ani perform gap could be optim address work with multipl depart on test and pilot new initi develop organiz puls and identifi opportun to drive high perform cultur in the organ also work as a feedback channel to the leadership team in regard to organ input and concern contribut to breakdown and develop of ani project into action plan of ani depart if need conduct research in ani possibl way experi like a b test survey paper or expert commun for analysi and conclus for make suitabl work path base on the purpos of project qualif bachelor degre or master degre from all major graduat from reput univers is prefer minimum gpa 3 25 fresh graduat or max 1 year experi excel in analyt critic structur think and comfort deal with number is a must have a leadership good interperson commun project manag skill to be abl to effect collabor inspir and drive the implement across differ team posit team spirit with passion to drive chang support a cohes team collabor aspir and growth mindset demonstr by willing to learn and open toward feedback will to work at our head offic in jakarta,https://glints.com/id/opportunities/jobs/management-trainee/b10644ec-088f-4681-be5a-dcba5cccc41f
6,jobstreet,Management Trainee,PT Surabaya Mekabox,Jawa Timur,-,-,-, Deskripsi Pekerjaan  Qualifications    Minimum S1 from any reputable university  ITS Petra Widya Mandala Ubaya ITBetc   Fresh graduate or maximum 1 year experience  Major   Accounting   Finance Mechanical Engineering Electrical Engineering Marketing Industrial EngineeringAutomation Psychology etc  Minimum GPA 3 5  Strong self motivation   have solid team work attitude  Excellent in interpersonal skills   organization oriented  PC literate  Fluent in English and preferably passive Mandarin  The potential candidates will be trained and promote to managerial level  Informasi Tambahan  Tingkat Pekerjaan  Lulusan baru Pengalaman kerja kurang dari 1 tahun  Kualifikasi  Sarjana  S1   Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Teknik    Teknik Kimia ,manag traine pt surabaya mekabox jawa timur deskripsi kerja qualif minimum s1 from ani reput univers it tra widya mandala ubaya itbetc fresh graduat or maximum 1 year experi major account financ mechan engin electr engin market industri engineeringautom psycholog etc minimum gpa 3 5 strong self motiv have solid team work attitud excel in interperson skill organ orient pc liter fluent in english and prefer passiv mandarin the potenti candid will be train and promot to manageri level informasi tambah tingkat kerja lulus baru alam kerja kurang dari 1 tahun kualifikasi sarjana s1 jeni kerja penuh waktu spesialisasi kerja teknik teknik kimia,https://www.jobstreet.co.id/id/job/management-trainee-3738274?jobId=jobstreet-id-job-3738274&sectionRank=4&token=0~2d892887-31d2-4cff-8dd2-f370dbe60586&fr=SRP%20Job%20Listing
7,jobstreet,Management Trainee (Lulusan D3/S1 Teknik),PT Duniatex Group,Jawa Tengah,-,-,-, Deskripsi Pekerjaan  Pendidikan  minimal D3 atau S1 Teknik  IndustriElektroMesinMekatronikaKimia   Fresh Graduate diperbolehkan melamar minimal IPK 3 00  Usia maksimal 28 tahun  Aktif dalam berorganisasi  Punya jiwa kepemimpinan  Mampu berkomunikasi dengan baik  Mampu mengoprasikan komputer dengan baik  Bersedia di tempatkan di area Jawa Tengah  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Sertifikat Professional D3  Diploma  D4  Diploma  Sarjana  S1   Pengalaman Kerja  1 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Pendidikan Pelatihan    Pelatihan   Pengembangan ,manag traine lulus d3 s1 teknik pt duniatex group jawa tengah deskripsi kerja didik minim d3 atau s1 teknik industrielektromesinmekatronikakimia fresh graduat boleh lamar minim ipk 3 00 usia maksim 28 tahun aktif dalam organ punya jiwa pimpin mampu komunikasi dengan baik mampu mengoprasikan komput dengan baik sedia di tempat di area jawa tengah informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi sertifikat profession d3 diploma d4 diploma sarjana s1 alam kerja 1 tahun jeni kerja penuh waktu spesialisasi kerja didik latih latih kembang,https://www.jobstreet.co.id/id/job/management-trainee-lulusan-d3-s1-teknik-3739180?jobId=jobstreet-id-job-3739180&sectionRank=5&token=0~2d892887-31d2-4cff-8dd2-f370dbe60586&fr=SRP%20Job%20Listing
8,jobstreet,Management Trainee Java & .Net Developer,PT WhiteOpen Teknologi,Jakarta Raya,-,-,-, Deskripsi Pekerjaan  Management trainee pemrograman java dan  net  Merupakan bentuk pelatihan kelas pemrograman JAVA dan  NETDimana PT Whiteopen Teknologi memberikan kesempatan belajar Bahasa pemrograman yg saat ini paling banyak di pakai di dunia IT  Persyaratan    Minimal D3 Jurusan Fakultas Ilmu Komputer  Fresh Graduated  Mempunyai motivasi dan semangat belajar yg tinggi   Oh iya setelah lulus program pelatihan inikita juga berkesempatan mendapatkan tawaran kerja dari   PT  Whiteopen Teknologi   AMAZING banget kan program ini mau tau info lebih lanjut   mau join  yuk silahkan kirimkan EmailCV kalian kepada kami atau datang langsung ke kantor kami Semoga dengan menyebarkan Informasi ini semakin banyak yah temen temen kalian yg bisa merasakan serunya dan menjadi keluarga besar  PT  Whiteopen Teknologi     Apabila Anda memenuhi persyaratan diatas segera kirimkan CV terbaru dengan klik tombol dibawah ini      Setelah program pelatihan ini maka kandidat  akan bekerja under PT Whiteopen Teknologi sesuai dengan kualifikasi yang sudah di terapkan oleh perusahaan   Informasi Tambahan  Tingkat Pekerjaan  Lulusan baru Pengalaman kerja kurang dari 1 tahun  Kualifikasi  Sertifikat Professional D3  Diploma  D4  Diploma  Sarjana  S1   Jenis Pekerjaan  Kontrak  Spesialisasi Pekerjaan  Komputer Teknologi Informasi    IT Perangkat Lunak ,manag traine java net develop pt whiteopen teknolog jakarta raya deskripsi kerja manag traine pemrograman java dan net rupa bentuk latih kela pemrograman java dan netdimana pt whiteopen teknolog beri sempat ajar bahasa pemrograman yg saat ini pale banyak di pakai di dunia it syarat minim d3 jurus fakulta ilmu komput fresh graduat punya motivasi dan semangat ajar yg tinggi oh iya telah lulu program latih inikita juga sempat dapat tawar kerja dari pt whiteopen teknolog amaz banget kan program ini mau tau info lebih lanjut mau join yuk silah kirim emailcv kalian kepada kami atau datang langsung ke kantor kami moga dengan sebar informasi ini makin banyak yah temen temen kalian yg bisa rasa seru dan jadi keluarga besar pt whiteopen teknolog apabila anda penuh syarat diata segera kirim cv baru dengan klik tombol bawah ini telah program latih ini maka kandidat akan kerja under pt whiteopen teknolog sesuai dengan kualifikasi yang sudah di terap oleh usaha informasi tambah tingkat kerja lulus baru alam kerja kurang dari 1 tahun kualifikasi sertifikat profession d3 diploma d4 diploma sarjana s1 jeni kerja kontrak spesialisasi kerja komput teknolog informasi it perangkat lunak,https://www.jobstreet.co.id/id/job/management-trainee-java-net-developer-3731521?jobId=jobstreet-id-job-3731521&sectionRank=8&token=0~2d892887-31d2-4cff-8dd2-f370dbe60586&fr=SRP%20Job%20Listing
9,jobstreet,Management Trainee (Mandarin Speaker),PT Blue Ocean Heart,Surabaya,-,-,-," Job Description  Maximum 25 years old  Minimum Bachelor Degree  S1  in all Major  Fresh graduate are welcome  Fluent in Mandarin and Indonesian  Speaking Reading Writing Listening   Good personality with good public speaking and communication skill  Have good leadership  Willing to be placed all over East Java  Salary 8 10 Million  Additional Information  Career Level  Lulusan baru Pengalaman kerja kurang dari 1 tahun  Qualification  Sarjana  S1   Job Type  Penuh Waktu  Job Specializations  Sales Marketing    Marketing Business Dev  Company Overview  PT  Blue Ocean Heart  Vivo Smartphone  adalah perusahaan yang bergerak pada bidang telekomunikasi dan gadget yang sedang marak dan berkembang  Memiliki brand yang siap bersaing dengan brand lain yang sudah ada terlebih dulu   
  Bertempat di pusat kota dengan jangkauan pasar gadget yang besar seperti WTC dan Plaza Marina   
  Dengan karyawan yang banyak siap untuk membesarkan nama dan penjualan vivo Smartphone di Surabaya dan sekitar   Additional Company Information  Company Size  501   1000 pekerja  Average Processing Time  21 days  Industry  General   Wholesale Trading  Benefits   Others  Tip    Kasual  contoh  Kaos     Senin Jumat  09 00 17 30 WIB  Sabtu  09 00 12 00 WIB   Company photos  1     6  VIP Club Gathering PT  Sentosa Unggul Abadi  vivo area B ",manag traine mandarin speaker pt blue ocean heart surabaya job descript maximum 25 year old minimum bachelor degre s1 in all major fresh graduat are welcom fluent in mandarin and indonesian speak read write listen good person with good public speak and commun skill have good leadership will to be place all over east java salar 8 10 million addit inform career level lulus baru alam kerja kurang dari 1 tahun qualif sarjana s1 job type penuh waktu job special sale market market busi dev compani overview pt blue ocean heart vivo smartphon adalah usaha yang gerak pada bidang telekomunikasi dan gadget yang sedang marak dan kembang milik brand yang siap bersa dengan brand lain yang sudah ada lebih dulu tempat di pusat kota dengan jangkau pasar gadget yang besar seperti wtc dan plaza marina dengan karyawan yang banyak siap untuk besar nama dan jual vivo smartphon di surabaya dan sekitar addit compani inform compani size 501 1000 kerja averag process time 21 day industri gener wholesal trade benefit other tip kasual contoh kao senin jumat 09 00 17 30 wib sabtu 09 00 12 00 wib compani photo 1 6 vip club gather pt sentosa unggul abadi vivo area b,https://www.jobstreet.co.id/id/job/management-trainee-mandarin-speaker-3731592?jobId=jobstreet-id-job-3731592&sectionRank=10&token=0~2d892887-31d2-4cff-8dd2-f370dbe60586&fr=SRP%20Job%20Listing
